PI,H,γ,Vs,αgR,PGA
9,90,19,319,0.65,0.17
58,82,13,326,0.3,0.33
24,85,21,247,0.9,0.2
11,95,17,339,0.4,0.29
58,70,16,334,1,0.47
4,56,16,375,0.75,0.37
18,97,23,399,0.45,0.36
16,73,18,350,0.65,0.29
1,92,14,545,0.75,0.43
41,50,22,481,0.25,0.4
37,59,16,154,1,0.17
43,75,16,468,0.6,0.49
59,91,21,593,0.8,0.58
36,73,14,318,0.6,0.32
8,29,17,600,0.25,0.35
54,51,18,406,0.1,0.13
47,36,13,385,0.35,0.5
38,27,22,612,0.8,0.9
0,40,18,287,0.05,0.08
60,76,16,410,0.45,0.39
34,95,12,104,0.3,0.08
49,86,23,542,0.55,0.52
4,52,19,595,0.2,0.21
58,41,14,476,0.4,0.79
9,64,19,394,0.35,0.3
59,100,18,120,0.85,0.06
42,92,22,571,0.85,0.58
24,71,15,624,0.2,0.27
23,14,13,544,0.4,0.54
36,67,13,604,0.25,0.44
31,40,22,324,0.95,0.58
37,68,19,642,1,0.86
22,98,24,384,0.3,0.24
21,75,24,592,0.95,0.6
46,33,18,381,0.95,0.91
35,96,14,206,0.05,0.06
53,50,20,409,0.9,0.65
55,98,19,112,0.95,0.09
45,40,13,516,0.05,0.11
3,59,16,258,0.35,0.14
54,77,13,551,0.1,0.16
28,93,14,114,0.3,0.09
29,18,19,270,0.15,0.24
47,21,23,110,0.85,0.28
51,43,18,353,0.65,0.69
34,12,19,106,0.3,0.24
10,33,13,221,0.65,0.25
2,71,15,201,0.65,0.08
0,68,15,576,1,0.59
6,84,21,485,0.9,0.39
56,78,21,159,0.25,0.14
29,93,12,387,0.3,0.31
10,51,14,294,0.8,0.36
55,44,17,299,0.2,0.24
15,75,24,558,1,0.61
19,40,23,450,0.3,0.44
38,84,19,354,0.6,0.34
28,26,13,150,0.6,0.22
31,54,17,194,0.2,0.2
2,20,22,362,0.55,0.84
49,19,23,408,0.35,0.53
46,84,14,629,0.3,0.34
38,57,24,286,0.4,0.39
33,85,20,303,0.1,0.11
12,30,13,541,0.3,0.38
6,97,20,346,0.8,0.26
15,18,24,283,0.25,0.49
58,13,19,640,0.55,0.81
17,33,23,364,0.75,0.71
26,79,19,371,0.9,0.37
15,10,12,195,0.65,0.6
18,76,23,308,0.05,0.05
52,23,18,547,0.05,0.08
20,44,24,214,0.45,0.28
25,46,17,526,0.75,0.7
53,76,16,441,0.35,0.42
15,35,23,538,0.75,0.74
15,38,20,162,0.7,0.15
1,31,20,550,1,0.97
41,32,16,260,0.55,0.54
9,28,12,450,0.5,0.93
14,55,13,212,0.1,0.13
60,47,21,198,0.9,0.28
30,11,15,315,0.45,0.74
18,51,19,428,0.65,0.56
22,84,18,461,0.4,0.42
24,80,22,214,0.4,0.21
44,43,18,605,0.4,0.68
4,34,19,207,0.1,0.11
39,82,21,615,0.05,0.06
27,51,18,588,0.4,0.66
36,60,17,445,0.2,0.23
35,45,20,621,0.05,0.08
47,37,20,461,0.55,0.92
55,15,18,149,0.95,0.49
23,53,16,398,0.95,0.57
37,49,23,312,0.3,0.35
55,47,21,644,0.5,0.71
18,14,14,273,0.6,0.63
42,11,20,221,0.55,1.02
3,23,13,320,0.05,0.12
49,53,22,552,0.2,0.22
51,23,15,559,0.4,0.55
40,24,13,147,0.65,0.26
30,49,24,351,0.6,0.42
48,53,14,631,0.1,0.15
15,53,20,355,0.9,0.41
20,63,22,186,0.35,0.11
25,88,21,564,0.85,0.55
13,58,23,271,0.7,0.21
41,96,18,156,0.05,0.06
44,86,15,605,0.5,0.57
6,85,22,414,0.05,0.07
39,42,16,396,0.85,0.73
13,39,21,570,0.2,0.29
29,81,20,395,0.25,0.34
14,46,13,225,0.45,0.27
50,59,16,243,0.5,0.39
3,60,24,220,0.2,0.17
50,69,18,370,0.15,0.19
40,26,16,133,0.2,0.21
23,73,17,361,0.8,0.43
1,63,19,267,0.75,0.16
42,94,21,109,0.9,0.08
52,36,22,227,0.45,0.3
45,65,20,509,0.2,0.23
14,27,20,336,0.7,0.68
60,74,22,322,0.55,0.55
51,67,15,583,0.3,0.4
9,72,18,473,0.7,0.49
6,75,14,242,0.25,0.14
12,82,12,347,0.6,0.24
10,13,15,269,0.9,0.79
24,65,22,337,1,0.36
20,72,13,287,0.95,0.25
35,16,17,356,0.55,1.1
56,69,13,136,0.45,0.13
23,57,20,610,0.35,0.41
52,56,23,175,0.2,0.19
56,29,19,386,0.6,0.71
51,13,14,339,0.95,1.39
46,47,18,616,0.4,0.67
53,31,21,191,0.5,0.47
30,25,12,505,0.8,0.98
16,85,20,607,0.05,0.06
9,83,21,367,0.15,0.17
4,90,15,235,0.65,0.09
59,65,15,637,0.3,0.47
35,28,14,440,0.35,0.56
22,18,14,508,0.65,0.91
26,96,21,402,0.55,0.46
47,74,17,455,0.85,0.59
14,43,14,146,0.95,0.14
20,22,23,248,0.9,0.57
44,99,19,620,0.7,0.61
58,49,22,259,0.45,0.32
18,58,15,281,0.2,0.23
5,37,21,579,0.15,0.19
14,98,14,492,0.4,0.41
38,47,13,457,1,0.78
41,44,14,232,0.45,0.29
2,21,23,130,0.15,0.14
3,83,21,175,1,0.1
50,23,15,154,0.7,0.33
37,61,24,284,0.85,0.44
33,84,19,471,0.65,0.51
9,75,16,488,1,0.47
18,43,20,649,0.5,0.75
48,64,20,181,0.35,0.13
46,11,14,471,0.2,0.43
41,19,16,316,0.15,0.3
53,69,23,591,0.5,0.59
58,87,18,143,0.9,0.14
56,87,16,235,0.9,0.24
51,19,18,628,0.55,0.85
36,92,19,426,0.65,0.43
20,11,19,121,0.05,0.13
59,12,15,160,0.45,0.72
12,30,18,137,0.6,0.14
31,74,21,333,0.05,0.08
5,95,14,201,0.55,0.13
17,12,21,548,0.45,0.5
31,63,20,391,0.85,0.52
5,89,18,383,0.75,0.23
4,91,21,102,0.65,0.03
37,61,13,480,0.15,0.22
43,69,16,462,0.85,0.58
46,17,16,417,0.15,0.33
14,71,13,506,0.65,0.47
21,42,19,204,0.35,0.17
4,87,23,647,0.5,0.45
42,32,16,380,0.3,0.57
27,30,19,437,0.15,0.21
12,81,15,532,0.35,0.35
49,86,20,276,0.95,0.28
28,94,21,578,0.5,0.47
16,76,14,475,0.5,0.55
39,92,21,359,0.95,0.36
24,93,12,557,0.25,0.34
8,71,17,245,0.25,0.15
13,89,23,376,0.55,0.36
55,80,12,514,0.4,0.53
23,17,14,434,0.8,1.06
